OriginID,longitude,latitude,depth,magnitude
smi:ch.ethz.sed/scenario/Origin/Aarau_M6_0,8.1584,47.3432,8,6
smi:ch.ethz.sed/scenario/Origin/Allschwil_M6_0,7.5688,47.6412,8,6
smi:ch.ethz.sed/scenario/Origin/Altdorf_UR_M6_0,8.7002,46.8012,8,6
smi:ch.ethz.sed/scenario/Origin/Appenzell_M6_0,9.5383,47.3264,8,6
smi:ch.ethz.sed/scenario/Origin/Baar_M6_0,8.4094,47.1535,8,6
smi:ch.ethz.sed/scenario/Origin/Basel_M6_0,7.4584,47.5417,8,6
smi:ch.ethz.sed/scenario/Origin/Bellinzona_M6_0,9.0107,46.1052,8,6
smi:ch.ethz.sed/scenario/Origin/Bern_M6_0,7.3253,46.915,8,6
smi:ch.ethz.sed/scenario/Origin/Biel_Bienne_M6_0,7.1273,47.0988,8,6
smi:ch.ethz.sed/scenario/Origin/Bulle_M6_0,7.018,46.7012,8,6
smi:ch.ethz.sed/scenario/Origin/Chur_M6_0,9.5823,46.7677,8,6
smi:ch.ethz.sed/scenario/Origin/Davos_M6_0,9.7778,46.8833,8,6
smi:ch.ethz.sed/scenario/Origin/Delemont_M6_0,7.2218,47.3984,8,6
smi:ch.ethz.sed/scenario/Origin/Emmen_M6_0,8.4015,47.0509,8,6
smi:ch.ethz.sed/scenario/Origin/Frauenfeld_M6_0,8.8185,47.482,8,6
smi:ch.ethz.sed/scenario/Origin/Freienbach_M6_0,8.8859,47.1885,8,6
smi:ch.ethz.sed/scenario/Origin/Fribourg_M6_0,7.0392,46.8379,8,6
smi:ch.ethz.sed/scenario/Origin/Geneve_M6_0,6.2677,46.1797,8,6
smi:ch.ethz.sed/scenario/Origin/Glarus_M6_0,9.1619,47.1041,8,6
smi:ch.ethz.sed/scenario/Origin/Glarus_Nord_M6_0,8.9351,47.0956,8,6
smi:ch.ethz.sed/scenario/Origin/Herisau_M6_0,9.3406,47.3058,8,6
smi:ch.ethz.sed/scenario/Origin/Kreuzlingen_M6_0,9.141,47.557,8,6
smi:ch.ethz.sed/scenario/Origin/La_Chaux_de_Fonds_M6_0,6.7249,47.1552,8,6
smi:ch.ethz.sed/scenario/Origin/Lausanne_M6_0,6.5397,46.4564,8,6
smi:ch.ethz.sed/scenario/Origin/Liestal_M6_0,7.6815,47.4038,8,6
smi:ch.ethz.sed/scenario/Origin/Lugano_M6_0,9.069,46.0404,8,6
smi:ch.ethz.sed/scenario/Origin/Luzern_M6_0,8.2529,47.1315,8,6
smi:ch.ethz.sed/scenario/Origin/Martigny_M6_0,7.1162,46.1904,8,6
smi:ch.ethz.sed/scenario/Origin/Neuchatel_M6_0,7.0605,46.9845,8,6
smi:ch.ethz.sed/scenario/Origin/Neuhausen_am_Rheinfall_M6_0,8.5013,47.7332,8,6
smi:ch.ethz.sed/scenario/Origin/Olten_M6_0,8.0025,47.2902,8,6
smi:ch.ethz.sed/scenario/Origin/Porrentruy_M6_0,7.2061,47.4358,8,6
smi:ch.ethz.sed/scenario/Origin/Rapperswil_Jona_M6_0,8.947,47.2469,8,6
smi:ch.ethz.sed/scenario/Origin/Riehen_M6_0,7.7542,47.6406,8,6
smi:ch.ethz.sed/scenario/Origin/Sarnen_M6_0,8.1152,46.9055,8,6
smi:ch.ethz.sed/scenario/Origin/Schaffhausen_M6_0,8.7705,47.7054,8,6
smi:ch.ethz.sed/scenario/Origin/Schattdorf_M6_0,8.7667,46.8256,8,6
smi:ch.ethz.sed/scenario/Origin/Schwyz_M6_0,8.5348,46.9813,8,6
smi:ch.ethz.sed/scenario/Origin/Sion_M6_0,7.2793,46.3032,8,6
smi:ch.ethz.sed/scenario/Origin/Solothurn_M6_0,7.5776,47.2933,8,6
smi:ch.ethz.sed/scenario/Origin/St_Gallen_M6_0,9.2478,47.4455,8,6
smi:ch.ethz.sed/scenario/Origin/Stans_M6_0,8.4942,46.9376,8,6
smi:ch.ethz.sed/scenario/Origin/Vaduz_M6_0,9.4918,47.2287,8,6
smi:ch.ethz.sed/scenario/Origin/Vernier_M6_0,6.1888,46.1435,8,6
smi:ch.ethz.sed/scenario/Origin/Wettingen_M6_0,8.2546,47.5416,8,6
smi:ch.ethz.sed/scenario/Origin/Winterthur_M6_0,8.8067,47.4286,8,6
smi:ch.ethz.sed/scenario/Origin/Yverdon_les_Bains_M6_0,6.7076,46.8561,8,6
smi:ch.ethz.sed/scenario/Origin/Zug_M6_0,8.6188,47.2222,8,6
smi:ch.ethz.sed/scenario/Origin/Zurich_M6_0,8.6061,47.4555,8,6
